Country/Territory,IMF(2026)[1],World Bank(2025)[6],United Nations(2024)[7]
Congo,"17,028","16,307","16,412"
Brunei,"16,863","15,032","15,463"
Mauritania,"14,352","11,680","10,912"
Somalia,"14,174","12,995","11,966"
Kosovo,"14,053","12,456","11,154"
Equatorial Guinea,"13,722","12,823","12,288"
Togo,"13,437","11,890","10,163"
Channel Islands,—N/a,"12,507 (2023)",—N/a
Monaco,—N/a,"11,126 (2024)","11,126"
Montenegro,"10,227","9,233","8,274"
Liechtenstein,"9,442","8,906 (2024)","8,628"
Bermuda,—N/a,"9,194 (2024)","8,840"
New Caledonia,—N/a,"8,549 (2024)","8,549"
Barbados,"8,483","8,017","7,598"
Sierra Leone,"8,270","7,464","6,792"
Burundi,"8,137","3,365","4,431"
Maldives,"8,130","7,741","7,062"
Cayman Islands,—N/a,"7,765 (2024)","7,657"
Isle of Man,—N/a,"7,576 (2023)",—N/a
Yemen,"7,435","21,606 (2018)","14,304"
Guam,—N/a,"6,910 (2022)",—N/a
Fiji,"6,352","6,198","5,968"
French Polynesia,—N/a,"6,324 (2024)","6,323"
South Sudan,"6,069","11,998 (2015)","3,522"
Suriname,"5,908","4,524","4,435"
Eswatini,"5,792","5,161","4,947"
Liberia,"5,642","5,246","5,251"
Andorra,"4,879","4,501","4,040"
Djibouti,"4,725","4,625","4,152"
U.S. Virgin Islands,—N/a,"4,672 (2022)",—N/a
Aruba,"4,671","4,168 (2024)","4,192"
Faroe Islands,—N/a,"4,053 (2024)",—N/a
Bhutan,"3,856","3,579","3,347"
Curaçao,—N/a,"3,561 (2024)","3,561"
Central African Republic,"3,492","3,066","2,752"
Greenland,—N/a,"3,327 (2023)","3,466"
Belize,"3,450","3,327","3,204"
Cape Verde,"3,448","3,057","2,768"
Guinea-Bissau,"2,985","2,528","2,008"
Lesotho,"2,972","2,574","2,391"
Gambia,"2,792","2,594","2,372"
Saint Lucia,"2,765","2,656","2,574"
Zanzibar,—N/a,—N/a,"2,530"
San Marino,"2,417","2,027 (2023)","2,082"
Antigua and Barbuda,"2,385","2,338","2,162"
Seychelles,"2,251","2,387","2,162"
Timor-Leste,"2,170","1,902","1,866"
Eritrea,"1,982 (2019)","2,065 (2011)","1,917"
Sint Maarten,—N/a,"1,888","1,670"
Solomon Islands,"1,836","1,750","1,584"
British Virgin Islands,—N/a,—N/a,"1,830"
Comoros,"1,814","1,815","1,567"
Turks and Caicos Islands,—N/a,"1,745 (2024)","1,757"
Grenada,"1,483","1,420","1,372"
Vanuatu,"1,396","1,354","1,092"
Samoa,"1,376","1,288","1,253"
Saint Vincent and the Grenadines,"1,236","1,255","1,136"
São Tomé and Príncipe,"1,161",981,828
Saint Kitts and Nevis,"1,143","1,184","1,122"
Northern Mariana Islands,—N/a,"1,096 (2022)",—N/a
American Samoa,—N/a,871 (2022),—N/a
Dominica,791,724,689
Tonga,716,679,648
Saint Martin,—N/a,649 (2021),—N/a
Federated States of Micronesia,521,502,471
Anguilla,—N/a,—N/a,456
Cook Islands,—N/a,—N/a,414
Kiribati,401,349,343
Palau,377,345,310
Marshall Islands,342,308,281
Nauru,196,176,187
Montserrat,—N/a,—N/a,81
Tuvalu,65,57,56
